row,key,ok,messages
0,1316BBA24089,False,missing_doc_rec
1,1318MSCITIN24024,False,missing_doc_rec
2,1214IT09015,False,missing_doc_rec
3,1114BCOM426,False,missing_doc_rec
4,12H0445,False,missing_doc_rec
5,0810MBA010,False,missing_doc_rec
6,1416MBA02017,False,missing_doc_rec
7,1318MSCITIN24013,False,missing_doc_rec
8,1013BCOM452,False,missing_doc_rec
9,1216NSG13052,False,missing_doc_rec
10,10G0305,False,missing_doc_rec
11,1112PGDCA044,False,missing_doc_rec
12,1215BCA04336,False,missing_doc_rec
13,1217MSCITIN24050,False,missing_doc_rec
14,1216NSG13059,False,missing_doc_rec
15,0811BCA095,False,missing_doc_rec
16,0710BBA140,False,missing_doc_rec
17,,False,missing_doc_rec;missing_enrollment;missing_institute;missing_main;missing_sub
18,1012MBA120,False,missing_doc_rec
19,1315MPHARM01058,False,missing_doc_rec
20,10O0278,False,missing_doc_rec
21,11E0364,False,missing_doc_rec
22,100000000000000009283347037202319909689034845245050771098451388126923428081969579920029641209088262542943126809822773697747226137851076470969547585887373208135923963504986275470907025292240033962037948280174037505158080469401600,False,missing_doc_rec;missing_enrollment;missing_institute;missing_main;missing_sub
23,1214MCOM16014,False,missing_doc_rec
24,0710BCOM143,False,missing_doc_rec
25,1416MBA02094,False,missing_doc_rec
26,10G0288,False,missing_doc_rec
27,11W0385,False,missing_doc_rec
28,1217MSCITIN24025,False,missing_doc_rec
29,1416MBA02063,False,missing_doc_rec
30,1416MBA02008,False,missing_doc_rec
31,12G0440,False,missing_doc_rec
32,1316BCOM05148,False,missing_doc_rec
33,0912BCA248,False,missing_doc_rec
34,11E0375,False,missing_doc_rec
35,1013BCOM473,False,missing_doc_rec
36,1216BPHARM01006,False,missing_doc_rec
37,1112BEDE006,False,missing_doc_rec
38,10G0287,False,missing_doc_rec
39,1517IT22057,False,missing_doc_rec
40,10C0295,False,missing_doc_rec
41,10G0245,False,missing_doc_rec
42,0912BCOM483,False,missing_doc_rec
43,1117PHARMD008,False,missing_doc_rec
44,1117PHARMD020,False,missing_doc_rec
45,1016PHARMD008,False,missing_doc_rec
46,1117PHARMD001,False,missing_doc_rec
47,1117PHARMD015,False,missing_doc_rec
48,1117PHARMD017,False,missing_doc_rec
49,1117PHARMD007,False,missing_doc_rec
50,1117PHARMD023,False,missing_doc_rec
51,1117PHARMD005,False,missing_doc_rec
52,1117PHARMD024,False,missing_doc_rec
53,1117PHARMD021,False,missing_doc_rec
